pasta;arquivo_original;arquivo_novo;tema;tipo;descricao;pagina_publica_sugerida;duplicata_de
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011734.png;neurofinance--pagar-pix--etapa-01-consultar-codigo--claro--pagina--004.png;claro;pagina;Primeira etapa para colar e consultar um codigo Pix;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011750.png;neurofinance--extrato--visualizacao-a4-impressao--claro--modal--005.png;claro;modal;Extrato em formato A4 pronto para imprimir ou exportar;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011813.png;neurofinance--extrato--filtros-avancados--claro--modal--006.png;claro;modal;Filtros avancados para consultar movimentacoes do extrato;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011827.png;neurofinance--pagamentos-agendados--resumo-e-historico--claro--pagina--007.png;claro;pagina;Resumo e historico dos pagamentos agendados;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011926.png;neurofinance--area-pix--gerar-qr-code-com-menu--claro--pagina--008.png;claro;pagina;Tela para gerar QR Code Pix com menu lateral aberto;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012034.png;neurofinance--nfse--configuracao-dados-fiscais--claro--pagina--009.png;claro;pagina;Configuracao dos dados fiscais usados na emissao de NFS-e;/receita-saude-para-psicologos;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012115.png;neurofinance--tarifas--custos-e-prazos--claro--pagina--010.png;claro;pagina;Tabela de tarifas custos operacionais e prazos;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012136.png;neurofinance--saude-da-conta--cadastro-aprovado--claro--pagina--011.png;claro;pagina;Saude da conta com cadastro aprovado e verificacoes concluidas;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012340.png;neurofinance--cobranca--etapa-02-confirmar-taxas--claro--modal--012.png;claro;modal;Segunda etapa da cobranca com revisao de valor e taxas;/pix-e-cobranca-automatica-para-psicologos;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012354.png;neurofinance--cobranca--etapa-03-gerada-qr-e-compartilhar--claro--modal--013.png;claro;modal;Cobranca gerada com QR Code e opcoes de compartilhamento;/pix-e-cobranca-automatica-para-psicologos;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012424.png;neurofinance--pagar-pix--etapa-02-revisao-saldo-insuficiente--claro--pagina--014.png;claro;pagina;Revisao de pagamento Pix sinalizando saldo insuficiente;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012504.png;neurofinance--seguranca-da-conta--status-pin-e-saude--claro--pagina--015.png;claro;pagina;Painel de seguranca com status do PIN e saude da conta;/seguranca-e-etica;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012625.png;neurofinance--seguranca--conectar-google-authenticator--claro--modal--016.png;claro;modal;Conexao do Google Authenticator por QR Code;/seguranca-e-etica;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 012642.png;neurofinance--pin-financeiro--etapa-01-confirmar-atual--claro--modal--017.png;claro;modal;Primeira etapa para confirmar ou trocar o PIN financeiro;/seguranca-e-etica;
CLARO\9. NEUROID;Screenshot 2026-07-17 012828.png;neuroid--identidade-profissional--editor-e-credencial--claro--pagina--001.png;claro;pagina;Editor da identidade profissional com pre-visualizacao da credencial;/produto;
CLARO\9. NEUROID;Screenshot 2026-07-17 012843.png;neuroid--compartilhar-perfil--qr-code-e-link--misto--modal--002.png;misto;modal;Modal de compartilhamento do perfil por QR Code e link;/produto;
CLARO\9. NEUROID;Screenshot 2026-07-17 012858.png;neuroid--perfil-publico--identidade-e-compartilhamento--claro--pagina--003.png;claro;pagina;Perfil publico profissional com identidade e compartilhamento;/produto;
ESCURO\1. DASHBOARD;1.png;dashboard--visao-geral--primeira-dobra-clinica-financeiro--escuro--pagina--001.png;escuro;pagina;Primeira dobra com saudacao agenda indicadores clinicos e financeiros;/produto;
ESCURO\1. DASHBOARD;2.png;dashboard--visao-geral--fluxo-financeiro-e-pendencias--escuro--pagina--002.png;escuro;pagina;Continuidade do dashboard com fluxo financeiro pendencias e atividade;/produto;
ESCURO\1. DASHBOARD;3.png;dashboard--synapse--chat-inicial-com-atalhos--escuro--drawer--003.png;escuro;drawer;Synapse aberto no estado inicial com comandos sugeridos;/synapse-ai;
ESCURO\1. DASHBOARD;4 COM SYNAPSE E HISTÓRICO ZAP BUSINESS.png;dashboard--synapse--historico-whatsapp-business--escuro--drawer--004.png;escuro;drawer;Historico de conversas do Synapse pelo WhatsApp Business;/synapse-ai;
ESCURO\1. DASHBOARD;4.png;dashboard--mensagem-institucional--carrossel-para-quem-cuida--escuro--painel--005.png;escuro;painel;Cartao institucional para quem cuida dentro do dashboard;/;
ESCURO\1. DASHBOARD;Screenshot 2026-07-17 013945.png;dashboard--visao-geral--agenda-financeiro-e-pendencias--escuro--pagina--006.png;escuro;pagina;Visao geral combinando agenda financeiro e pendencias;/produto;
ESCURO\1. DASHBOARD;Screenshot 2026-07-26 210811.png;dashboard--mensagem-institucional--carrossel-para-quem-cuida--misto--painel--007.png;misto;painel;Cartao claro para quem cuida inserido em estrutura escura;/;
ESCURO\1. DASHBOARD;Screenshot 2026-07-26 210820.png;dashboard--mensagem-institucional--carrossel-reflexao-do-dia--misto--painel--008.png;misto;painel;Cartao claro de reflexao do dia inserido em estrutura escura;/;
ESCURO\1. DASHBOARD;Screenshot 2026-07-26 211355.png;dashboard--notificacoes--lista-com-acoes-do-item--escuro--popover--009.png;escuro;popover;Central de notificacoes com menu de acoes de um item;/produto;
ESCURO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 170031.png;ajustes--login-e-seguranca--conectar-authenticator--escuro--modal--001.png;escuro;modal;Conexao de aplicativo autenticador em duas etapas;/seguranca-e-etica;
ESCURO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 170044.png;ajustes--login-e-seguranca--2fa-biometria-e-email--escuro--pagina--002.png;escuro;pagina;Opcoes de autenticacao em dois fatores biometria e email;/seguranca-e-etica;
ESCURO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 170135.png;ajustes--comunicacao--modelo-lembrete-email--escuro--pagina--003.png;escuro;pagina;Editor do modelo de lembrete enviado por email;/produto;
ESCURO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 170153.png;ajustes--neurofinance--seguranca-pin-e-saude-da-conta--escuro--pagina--004.png;escuro;pagina;Ajustes de seguranca financeira PIN e saude da conta;/seguranca-e-etica;
ESCURO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 170201.png;ajustes--integracoes--google-workspace-e-notion-ativos--escuro--pagina--005.png;escuro;pagina;Integracoes ativas com Google Workspace e Notion;/produto;
ESCURO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 170318.png;ajustes--dados-e-privacidade--backup-exportacao-e-exclusao--escuro--pagina--006.png;escuro;pagina;Controles de backup exportacao e exclusao de dados;/seguranca-e-etica;
ESCURO\11. ABA DE BUSCA GLOBAL;Screenshot 2026-07-26 220549.png;busca-global--inicio--sugestoes-de-atividade--escuro--modal--001.png;escuro;modal;Busca global vazia com sugestoes de atividades recentes;/produto;
ESCURO\11. ABA DE BUSCA GLOBAL;Screenshot 2026-07-26 220659.png;busca-global--resultados--agendamentos-com-selecao--escuro--modal--002.png;escuro;modal;Resultados globais de agendamentos com um item selecionado;/produto;
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155306.png;duplicata-exata-001--portal-paciente--inicio-topo--escuro.png;escuro;duplicata;Copia binaria exata do topo inicial do portal;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--inicio--saudacao-e-proximo-agendamento--escuro--pagina--001.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155323.png;duplicata-exata-002--portal-paciente--inicio-boas-vindas--escuro.png;escuro;duplicata;Copia binaria exata do inicio com carrossel de boas-vindas;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--inicio--atalhos-e-carrossel-boas-vindas--escuro--pagina--002.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155331.png;duplicata-exata-003--portal-paciente--inicio-frase-do-dia--escuro.png;escuro;duplicata;Copia binaria exata do inicio com frase do dia;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--inicio--atalhos-e-carrossel-frase-do-dia--escuro--pagina--003.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155340.png;duplicata-exata-004--portal-paciente--sessoes-vazio--escuro.png;escuro;duplicata;Copia binaria exata da aba de sessoes sem horario futuro;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--sessoes--agendamentos-sem-sessao-futura--escuro--pagina--004.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 215939.png;duplicata-exata-005--portal-paciente--sessoes-historico--escuro.png;escuro;duplicata;Copia binaria exata do historico de sessoes;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--sessoes--historico-de-sessoes-realizadas--escuro--pagina--005.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 215954.png;duplicata-exata-006--portal-paciente--humor-grafico--escuro.png;escuro;duplicata;Copia binaria exata do grafico de humor;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--humor--grafico-de-tendencia-e-registro--escuro--pagina--006.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220010.png;duplicata-exata-007--portal-paciente--humor-formulario--escuro.png;escuro;duplicata;Copia binaria exata do formulario de humor;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--humor--formulario-e-registros-recentes--escuro--pagina--007.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220036.png;duplicata-exata-008--portal-paciente--anamnese-expirada--escuro.png;escuro;duplicata;Copia binaria exata da anamnese expirada;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--neurodrive--anamnese-expirada-leitura--escuro--pagina--008.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220118.png;duplicata-exata-009--portal-paciente--notas-pessoais--escuro.png;escuro;duplicata;Copia binaria exata do editor de notas pessoais;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--neurodrive--notas-pessoais-editor--escuro--pagina--009.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220146.png;duplicata-exata-010--portal-paciente--missoes--escuro.png;escuro;duplicata;Copia binaria exata das missoes concluidas;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--progresso--missoes-concluidas--escuro--pagina--010.png
ESCURO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220158.png;duplicata-exata-011--portal-paciente--pacote-ativo--escuro.png;escuro;duplicata;Copia binaria exata do pacote financeiro ativo;/portal-do-paciente;CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO\portal-paciente--neurofinance--pacote-ativo-e-sessoes--escuro--pagina--011.png
ESCURO\2. AGENDA;notificações-modo-escuro.png;agenda--notificacoes--filtro-e-acoes--escuro--popover--001.png;escuro;popover;Central de notificacoes da agenda com filtro e acoes;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014123.png;agenda--calendario-semanal--sessoes-agendadas--escuro--pagina--002.png;escuro;pagina;Visao semanal com sessoes distribuidas no calendario;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014133.png;agenda--calendario-semanal--resumo-lateral--escuro--pagina--003.png;escuro;pagina;Visao semanal com resumo de agenda na barra lateral;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014147.png;agenda--calendario-diario--estado-vazio--escuro--pagina--004.png;escuro;pagina;Visao diaria sem compromissos no horario mostrado;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014222.png;agenda--calendario-mensal--resumo-lateral--escuro--pagina--005.png;escuro;pagina;Visao mensal com resumo e mini calendario lateral;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014230.png;agenda--novo-agendamento--etapa-01-dados-vazios--escuro--modal--006.png;escuro;modal;Primeira etapa vazia do formulario de novo agendamento;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014246.png;agenda--novo-agendamento--recorrencia-semanal--escuro--modal--007.png;escuro;modal;Configuracao de recorrencia semanal para a sessao;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014300.png;agenda--novo-agendamento--etapa-02-primeira-consulta-online--escuro--modal--008.png;escuro;modal;Segunda etapa configurada como primeira consulta online;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014308.png;agenda--novo-agendamento--etapa-03-revisar-recorrencia--escuro--modal--009.png;escuro;modal;Terceira etapa revisando os dados da recorrencia;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014341.png;agenda--sessao--realizada-e-recorrente--escuro--modal--010.png;escuro;modal;Ficha de uma sessao realizada pertencente a serie recorrente;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014350.png;agenda--historico--datas-e-convite-do-paciente--escuro--modal--011.png;escuro;modal;Historico com datas da sessao e convite enviado ao paciente;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014408.png;agenda--disponibilidade--grade-semanal--escuro--pagina--012.png;escuro;pagina;Grade semanal para configurar horarios de disponibilidade;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014419.png;agenda--politicas--regras-comerciais-inicio--escuro--pagina--013.png;escuro;pagina;Parte superior das configuracoes de politicas comerciais;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-17 014425.png;agenda--politicas--consequencias-e-cancelamento--escuro--pagina--014.png;escuro;pagina;Consequencias de falta cancelamento e remarcacao;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-26 214955.png;agenda--calendario-mensal--detalhes-do-agendamento--escuro--popover--015.png;escuro;popover;Popover de um agendamento dentro da visao mensal;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-26 215002.png;agenda--calendario-mensal--visao-completa--escuro--pagina--016.png;escuro;pagina;Visao mensal completa da agenda em desktop;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-26 215030.png;agenda--remarcacao--confirmar-politicas--escuro--modal--017.png;escuro;modal;Confirmacao de remarcacao com politicas aplicaveis;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-26 215139.png;agenda--calendario-diario--sessoes-agendadas--escuro--pagina--018.png;escuro;pagina;Visao diaria da agenda com sessoes marcadas;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-26 215241.png;agenda--calendario-semanal--resumo-lateral-alternativo--escuro--pagina--019.png;escuro;pagina;Visao semanal com segunda composicao do resumo lateral;/agenda-para-psicologos;
ESCURO\2. AGENDA;Screenshot 2026-07-26 215248.png;agenda--calendario-semanal--filtros-laterais--escuro--pagina--020.png;escuro;pagina;Visao semanal com filtros de calendario na barra lateral;/agenda-para-psicologos;
ESCURO\3. TELECONSULTA - ABA PRINCIPAL;Screenshot 2026-07-17 014502.png;teleconsulta--visao-geral--proxima-sessao-e-contexto--escuro--pagina--001.png;escuro;pagina;Pagina principal com proxima sessao contexto e historico;/teleconsulta-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014517.png;teleconsulta--pre-entrada--camera-desligada-e-privacidade--escuro--pagina--001.png;escuro;pagina;Pre-entrada com camera desligada privacidade e botao iniciar;/teleconsulta-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014524.png;teleconsulta--pre-entrada--dispositivos-de-audio-e-video--escuro--pagina--002.png;escuro;pagina;Pre-entrada mostrando seletores de microfone camera e saida;/teleconsulta-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014541.png;teleconsulta--em-sessao--transcricao-concluida--escuro--pagina--003.png;escuro;pagina;Sala em sessao com captura e transcricao concluidas;/transcricao-de-sessao-com-ia-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014606.png;teleconsulta--pos-sessao--carregando-revisao--escuro--pagina--004.png;escuro;pagina;Revisao pos-sessao em estado de carregamento;/teleconsulta-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014619.png;teleconsulta--pos-sessao--revisao-gerada-resumo--escuro--pagina--005.png;escuro;pagina;Topo da revisao gerada com resumo clinico da sessao;/transcricao-de-sessao-com-ia-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014630.png;teleconsulta--pos-sessao--revisao-gerada-detalhes--escuro--pagina--006.png;escuro;pagina;Detalhes da revisao com transcricao e secoes clinicas;/transcricao-de-sessao-com-ia-para-psicologos;
ESCURO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 014720.png;teleconsulta--transcricao--consentimento-antes-de-iniciar--escuro--modal--007.png;escuro;modal;Consentimento para transcrever a teleconsulta antes da entrada;/transcricao-de-sessao-com-ia-para-psicologos;
ESCURO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-17 014815.png;pacientes--lista--cartoes-de-pacientes--escuro--pagina--001.png;escuro;pagina;Grade de cartoes dos pacientes cadastrados;/pacientes-para-psicologos;
ESCURO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-17 014824.png;pacientes--novo-prontuario--cadastro-rapido--escuro--modal--002.png;escuro;modal;Cadastro rapido para criar paciente e prontuario;/pacientes-para-psicologos;
ESCURO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-17 014834.png;pacientes--novo-prontuario--cadastro-completo--escuro--modal--003.png;escuro;modal;Formulario completo para cadastrar paciente e prontuario;/pacientes-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 014909.png;prontuario--resumo--indicadores-clinicos-e-dados-do-paciente--escuro--pagina--001.png;escuro;pagina;Resumo superior do prontuario com indicadores clinicos e dados;/prontuario-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 014924.png;prontuario--historico--remarcacao-recusada--escuro--pagina--002.png;escuro;pagina;Historico completo destacando uma remarcacao recusada;/prontuario-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 014942.png;prontuario--sessao--resumo-clinico-gerado--escuro--pagina--003.png;escuro;pagina;Resumo clinico de sessao preenchido pela plataforma;/prontuario-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 014957.png;prontuario--anamnese--formulario-em-edicao--escuro--pagina--004.png;escuro;pagina;Formulario de anamnese aberto para preenchimento e edicao;/anamnese-psicologica-digital;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015005.png;prontuario--anamnese--selecionar-modelo--escuro--modal--005.png;escuro;modal;Galeria de modelos para iniciar uma anamnese;/anamnese-psicologica-digital;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015013.png;prontuario--humor--grafico-de-tendencia--escuro--pagina--006.png;escuro;pagina;Grafico de tendencia do humor registrado ao longo do tempo;/prontuario-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015025.png;prontuario--objetivos-terapeuticos--progresso-parcial--escuro--pagina--007.png;escuro;pagina;Objetivos terapeuticos com progresso parcial do plano;/prontuario-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015033.png;prontuario--planos-e-pacotes--visao-do-paciente--escuro--pagina--008.png;escuro;pagina;Planos e pacotes de sessoes vinculados ao paciente;/gestao-financeira-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015041.png;prontuario--financeiro--movimentacoes-do-paciente--escuro--pagina--009.png;escuro;pagina;Movimentacoes financeiras vinculadas ao paciente;/gestao-financeira-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015048.png;prontuario--arquivos--documento-pdf-compartilhado--escuro--pagina--010.png;escuro;pagina;Arquivo PDF compartilhado e armazenado no prontuario;/prontuario-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015135.png;prontuario--fiscal--acoes-de-documentos-fiscais--escuro--modal--011.png;escuro;modal;Acoes para emitir ou arquivar documentos fiscais;/receita-saude-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015143.png;prontuario--fiscal--arquivar-nfse-externa--escuro--modal--012.png;escuro;modal;Formulario para arquivar uma NFS-e emitida externamente;/receita-saude-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015151.png;prontuario--financeiro--cobrancas-do-paciente--escuro--pagina--013.png;escuro;pagina;Lista de cobrancas financeiras do paciente;/gestao-financeira-para-psicologos;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015159.png;prontuario--portal-paciente--enviar-convite--escuro--modal--014.png;escuro;modal;Convite para liberar o acesso do paciente ao portal;/portal-do-paciente;
ESCURO\5. PRONTUÁRIO;Screenshot 2026-07-17 015219.png;prontuario--documentos-oficiais--editor-de-declaracao--escuro--pagina--015.png;escuro;pagina;Editor A4 de declaracao com seletor do tipo de documento;/documentos-psicologicos-laudo-relatorio-atestado-declaracao;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 010750.png;neurodrive--notas--modo-foco-com-synapse--escuro--drawer--001.png;escuro;drawer;Nota em modo foco com chat do Synapse aberto;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 010832.png;neurodrive--notas--modo-foco-texto-rolado--escuro--pagina--002.png;escuro;pagina;Editor de nota no modo foco em uma posicao rolada do texto;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 161708.png;neurodrive--notas--lista-e-editor-em-tres-colunas--escuro--pagina--003.png;escuro;pagina;Notas em estrutura de navegacao lista e editor em tres colunas;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 161744.png;neurodrive--tarefas--kanban-com-filtros--escuro--pagina--004.png;escuro;pagina;Quadro Kanban de tarefas com filtros na barra lateral;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 161805.png;neurodrive--tarefas--lista-com-filtros--escuro--pagina--005.png;escuro;pagina;Tarefas em formato de lista com filtros laterais;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162337.png;neuroview--grafo-2d--paciente-e-nota-em-foco--escuro--pagina--006.png;escuro;pagina;Grafo 2D com paciente e nota relacionados em foco;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162348.png;neuroview--grafo-2d--rede-deslocada-com-nota--escuro--pagina--007.png;escuro;pagina;Grafo 2D deslocado no canvas com painel de nota aberto;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162401.png;neuroview--grafo-2d--paciente-com-conexoes-clinicas--escuro--pagina--008.png;escuro;pagina;Paciente selecionado com varias conexoes clinicas rotuladas;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162437.png;neuroview--grafo-2d--no-selecionado-em-tela-cheia--escuro--pagina--009.png;escuro;pagina;No selecionado e seus controles no grafo em tela cheia;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162612.png;neuroview--grafo-2d--problema-e-tags-selecionados--escuro--pagina--010.png;escuro;pagina;Nota de problema selecionada com tags e ligacao ao paciente;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162648.png;neuroview--grafo-2d--busca-filtrada-com-nota--escuro--pagina--011.png;escuro;pagina;Busca textual filtrando a rede 2D com nota aberta;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162743.png;neuroview--grafo-3d--rede-completa-e-legenda--escuro--pagina--012.png;escuro;pagina;Rede 3D completa com legenda e retorno para a visao 2D;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162758.png;neuroview--grafo-3d--paciente-e-fluxo-selecionados--escuro--pagina--013.png;escuro;pagina;Grafo 3D destacando um paciente e seu fluxo de pensamento;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162829.png;neuroview--grafo-3d--fluxo-em-foco-tela-cheia--escuro--pagina--014.png;escuro;pagina;Fluxo selecionado no grafo 3D em enquadramento de tela cheia;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162858.png;neuroview--grafo-3d--rede-integrada-na-navegacao--escuro--pagina--015.png;escuro;pagina;Grafo 3D exibido dentro da navegacao completa do NeuroDrive;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162939.png;neuroflow--canvas--mapa-clinico-com-diagnostico--escuro--pagina--016.png;escuro;pagina;Mapa visual de raciocinio clinico com diagnostico e intervencoes;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 162949.png;neuroflow--biblioteca--notas-livre-e-vinculada--escuro--modal--017.png;escuro;modal;Biblioteca do NeuroFlow nos blocos nota livre e nota vinculada;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 163013.png;neuroflow--biblioteca--blocos-clinicos--escuro--modal--018.png;escuro;modal;Biblioteca rolada nos blocos paciente hipotese evidencia e gatilho;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 163023.png;neuroflow--biblioteca--minhas-notas--escuro--modal--019.png;escuro;modal;Biblioteca do NeuroFlow na aba de notas existentes;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 163147.png;neuropulse--sintese--relato-preenchido-resultado-vazio--escuro--pagina--020.png;escuro;pagina;Relato preenchido antes de selecionar paciente e analisar;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 163202.png;neuropulse--sintese--seletor-de-abordagem--escuro--popover--021.png;escuro;popover;Seletor com abordagens terapeuticas para orientar a sintese;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 163208.png;neuropulse--sintese--construindo-analise--escuro--estado--022.png;escuro;estado;NeuroPulse organizando relacoes contexto e hipoteses;/neurobox;
ESCURO\6. NEURODRIVE;Screenshot 2026-07-17 163229.png;neuropulse--sintese--diagrama-clinico-pronto--escuro--pagina--023.png;escuro;pagina;Diagrama clinico TCC pronto com controles de exportacao;/neurobox;
ESCURO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 163508.png;gestao-financeira--visao-geral--regime-competencia--escuro--pagina--001.png;escuro;pagina;Visao financeira geral organizada pelo regime de competencia;/gestao-financeira-para-psicologos;
